algorithm,backend,bytes,classification,object_type,private_key_persisted,profile,reason,status
RSA-2048/SHA-256,OpenSSL CLI,1038,rfc-profiled-x509-generated,CA certificate,False,RFC 6487 + RFC 7935,,confirmed
RSA-2048/SHA-256,OpenSSL CLI,984,rfc-profiled-x509-generated,EE certificate,False,RFC 6487 + RFC 7935,,confirmed
RSA-2048/SHA-256,OpenSSL CLI,381,rfc-profiled-crl-generated,CRL,False,RFC 6487 + RFC 7935,,confirmed
RSA-2048/SHA-256,OpenSSL CLI,1492,generic-cms-generated,CMS SignedData,False,RFC 6488 + RFC 7935,,confirmed
RSA-2048/SHA-256,OpenSSL CLI,,rpki-payload-generator-unavailable,MFT,False,RFC 6488 + RFC 7935,No existing MFT/ROA payload generator was available; ASN.1 payloads were not reimplemented.,unsupported
RSA-2048/SHA-256,OpenSSL CLI,,rpki-payload-generator-unavailable,ROA,False,RFC 6488 + RFC 7935,No existing MFT/ROA payload generator was available; ASN.1 payloads were not reimplemented.,unsupported
ML-DSA-65,OpenSSL CLI,5767,rfc-profiled-x509-generated,CA certificate,False,RFC 6487 + RFC 9881,,confirmed
ML-DSA-65,OpenSSL CLI,5713,rfc-profiled-x509-generated,EE certificate,False,RFC 6487 + RFC 9881,,confirmed
ML-DSA-65,OpenSSL CLI,3430,rfc-profiled-crl-generated,CRL,False,RFC 6487 + RFC 9881,,confirmed
ML-DSA-65,OpenSSL CLI,,cms-pure-signature-unsupported,CMS SignedData,False,RFC 6488 + RFC 9882,80DE56FB01000000:error:17000080:CMS routines:CMS_add1_signer:no default digest:crypto/cms/cms_sd.c:405:pkey nid=-1,unsupported
ML-DSA-65,OpenSSL CLI,,cms-signing-unavailable,MFT,False,RFC 6488 + RFC 9882,RFC 6488 object generation cannot proceed because CMS signing failed.,unsupported
ML-DSA-65,OpenSSL CLI,,cms-signing-unavailable,ROA,False,RFC 6488 + RFC 9882,RFC 6488 object generation cannot proceed because CMS signing failed.,unsupported
ML-DSA-87,OpenSSL CLI,7725,rfc-profiled-x509-generated,CA certificate,False,RFC 6487 + RFC 9881,,confirmed
ML-DSA-87,OpenSSL CLI,7671,rfc-profiled-x509-generated,EE certificate,False,RFC 6487 + RFC 9881,,confirmed
ML-DSA-87,OpenSSL CLI,4748,rfc-profiled-crl-generated,CRL,False,RFC 6487 + RFC 9881,,confirmed
ML-DSA-87,OpenSSL CLI,,cms-pure-signature-unsupported,CMS SignedData,False,RFC 6488 + RFC 9882,80DE56FB01000000:error:17000080:CMS routines:CMS_add1_signer:no default digest:crypto/cms/cms_sd.c:405:pkey nid=-1,unsupported
ML-DSA-87,OpenSSL CLI,,cms-signing-unavailable,MFT,False,RFC 6488 + RFC 9882,RFC 6488 object generation cannot proceed because CMS signing failed.,unsupported
ML-DSA-87,OpenSSL CLI,,cms-signing-unavailable,ROA,False,RFC 6488 + RFC 9882,RFC 6488 object generation cannot proceed because CMS signing failed.,unsupported
SLH-DSA-SHAKE-128s,OpenSSL CLI,8390,rfc-profiled-x509-generated,CA certificate,False,RFC 6487 + RFC 9909,,confirmed
SLH-DSA-SHAKE-128s,OpenSSL CLI,8336,rfc-profiled-x509-generated,EE certificate,False,RFC 6487 + RFC 9909,,confirmed
SLH-DSA-SHAKE-128s,OpenSSL CLI,7977,rfc-profiled-crl-generated,CRL,False,RFC 6487 + RFC 9909,,confirmed
SLH-DSA-SHAKE-128s,OpenSSL CLI,,cms-pure-signature-unsupported,CMS SignedData,False,RFC 6488 + RFC 9814,80DE56FB01000000:error:17000080:CMS routines:CMS_add1_signer:no default digest:crypto/cms/cms_sd.c:405:pkey nid=-1,unsupported
SLH-DSA-SHAKE-128s,OpenSSL CLI,,cms-signing-unavailable,MFT,False,RFC 6488 + RFC 9814,RFC 6488 object generation cannot proceed because CMS signing failed.,unsupported
SLH-DSA-SHAKE-128s,OpenSSL CLI,,cms-signing-unavailable,ROA,False,RFC 6488 + RFC 9814,RFC 6488 object generation cannot proceed because CMS signing failed.,unsupported
SLH-DSA-SHAKE-192s,OpenSSL CLI,16774,rfc-profiled-x509-generated,CA certificate,False,RFC 6487 + RFC 9909,,confirmed
SLH-DSA-SHAKE-192s,OpenSSL CLI,16720,rfc-profiled-x509-generated,EE certificate,False,RFC 6487 + RFC 9909,,confirmed
SLH-DSA-SHAKE-192s,OpenSSL CLI,16345,rfc-profiled-crl-generated,CRL,False,RFC 6487 + RFC 9909,,confirmed
SLH-DSA-SHAKE-192s,OpenSSL CLI,,cms-pure-signature-unsupported,CMS SignedData,False,RFC 6488 + RFC 9814,80DE56FB01000000:error:17000080:CMS routines:CMS_add1_signer:no default digest:crypto/cms/cms_sd.c:405:pkey nid=-1,unsupported
SLH-DSA-SHAKE-192s,OpenSSL CLI,,cms-signing-unavailable,MFT,False,RFC 6488 + RFC 9814,RFC 6488 object generation cannot proceed because CMS signing failed.,unsupported
SLH-DSA-SHAKE-192s,OpenSSL CLI,,cms-signing-unavailable,ROA,False,RFC 6488 + RFC 9814,RFC 6488 object generation cannot proceed because CMS signing failed.,unsupported
