algorithm,approximate_median_roa_bytes,comparison_status,literature_calibrated_ratio_vs_rsa,literature_calibrated_repository_bytes,local_primitive_sign_ms,published_estimated_sign_ms,published_ratio_vs_rsa,published_repository_bytes_rounded,published_validation_cpu_seconds,synthetic_difference_percent_vs_calibrated,synthetic_ratio_vs_rsa
RSA-2048/SHA-256,2123,comparable-size-model,1.0,838030450,6.868458,10.8,1.0,838030450,13.0,0.0,1.0
ML-DSA-65,9911,comparable-size-model,4.6628,3907548358,6.162125,0.212,4.6538,3900000000,51.8,-13.96,4.0118
ML-DSA-87,13187,comparable-size-model,6.204,5199132926,8.078625,0.257,6.205,5200000000,80.9,-14.9,5.2798
SLH-DSA-SHAKE-128s,17085,comparable-size-model,8.0419,6739369570,349.318167,1873.028,7.9949,6700000000,1376.3,-14.88,6.845
SLH-DSA-SHAKE-192s,33837,comparable-size-model,15.927,13347313490,609.270875,,,,,-15.96,13.3845
P-256/SHA-256,1550,comparable-size-model,0.7296,611430517,5.946292,,,,,6.88,0.7798
Ed25519,1501,comparable-size-model,0.7066,592136098,5.742042,,,,,7.73,0.7612
ML-DSA-44,7493,comparable-size-model,3.5254,2954408754,6.101292,,,,,-12.67,3.0787
Falcon-512,3570,comparable-size-model,1.6794,1407377885,2.112334,0.404,1.6706,1400000000,23.4,-7.45,1.5542
Falcon-1024,5694,comparable-size-model,2.678,2244282901,4.647125,0.821,2.6252,2200000000,46.4,-11.57,2.3682
MAYO-1,3669,comparable-size-model,1.7253,1445890014,0.363709,0.188,1.6706,1400000000,44.3,-8.19,1.584
"SNOVA-(24,5,4)",2853,comparable-size-model,1.3418,1124428810,0.514375,0.123,1.3126,1100000000,47.3,-5.18,1.2723
HAWK-512,3475,comparable-size-model,1.6345,1369773438,,0.034,1.6706,1400000000,42.8,-7.31,1.515
RSA-2048+ML-DSA-44,8275,comparable-size-model,3.8932,3262596540,,,,,,-13.2,3.3794
P-256+ML-DSA-44,7702,comparable-size-model,3.6237,3036783461,,,,,,-12.82,3.1592
P-256+Falcon-512,3779,comparable-size-model,1.7777,1489752592,,,,,,-8.04,1.6347
