algorithm,iterations,keygen_seconds,message_bytes,peak_rss_bytes,reason,repetition,sign_seconds,signature_bytes,status,verify_seconds
RSA-2048/SHA-256,1000,0.041890000,32,4931584,,1,0.340535000,256,confirmed,0.009876000
P-256/SHA-256,1000,0.000055000,32,5275648,,1,0.012637000,71,confirmed,0.034526000
Ed25519,1000,0.000035000,32,5373952,,1,0.016735000,64,confirmed,0.040994000
ML-DSA-44,1000,0.000071000,32,5636096,,1,0.234626000,2420,confirmed,0.047715000
ML-DSA-65,1000,0.000099000,32,5718016,,1,0.406438000,3309,confirmed,0.073394000
ML-DSA-87,1000,0.000125000,32,5783552,,1,0.473742000,4627,confirmed,0.115209000
RSA-2048/SHA-256,1000,0.023642000,32,4947968,,2,0.343945000,256,confirmed,0.009768000
P-256/SHA-256,1000,0.000052000,32,5292032,,2,0.012842000,72,confirmed,0.034390000
Ed25519,1000,0.000033000,32,5390336,,2,0.016438000,64,confirmed,0.040188000
ML-DSA-44,1000,0.000064000,32,5636096,,2,0.273944000,2420,confirmed,0.047969000
ML-DSA-65,1000,0.000106000,32,5701632,,2,0.405020000,3309,confirmed,0.073274000
ML-DSA-87,1000,0.000124000,32,5799936,,2,0.485135000,4627,confirmed,0.117547000
RSA-2048/SHA-256,1000,0.036504000,32,4915200,,3,0.339882000,256,confirmed,0.009778000
P-256/SHA-256,1000,0.000052000,32,5259264,,3,0.012777000,71,confirmed,0.034618000
Ed25519,1000,0.000040000,32,5357568,,3,0.017489000,64,confirmed,0.041605000
ML-DSA-44,1000,0.000075000,32,5603328,,3,0.256154000,2420,confirmed,0.047743000
ML-DSA-65,1000,0.000106000,32,5701632,,3,0.453213000,3309,confirmed,0.082199000
ML-DSA-87,1000,0.000136000,32,5816320,,3,0.491154000,4627,confirmed,0.117706000
RSA-2048/SHA-256,1000,0.032007000,32,4866048,,4,0.345026000,256,confirmed,0.009905000
P-256/SHA-256,1000,0.000055000,32,5210112,,4,0.012794000,71,confirmed,0.034409000
Ed25519,1000,0.000031000,32,5308416,,4,0.016331000,64,confirmed,0.040324000
ML-DSA-44,1000,0.000070000,32,5554176,,4,0.268207000,2420,confirmed,0.055582000
ML-DSA-65,1000,0.000110000,32,5619712,,4,0.428875000,3309,confirmed,0.078539000
ML-DSA-87,1000,0.000157000,32,5685248,,4,0.462071000,4627,confirmed,0.115817000
RSA-2048/SHA-256,1000,0.023433000,32,4898816,,5,0.340562000,256,confirmed,0.009746000
P-256/SHA-256,1000,0.000053000,32,5242880,,5,0.012683000,72,confirmed,0.034716000
Ed25519,1000,0.000039000,32,5341184,,5,0.016646000,64,confirmed,0.040356000
ML-DSA-44,1000,0.000070000,32,5521408,,5,0.248583000,2420,confirmed,0.047869000
ML-DSA-65,1000,0.000099000,32,5570560,,5,0.393509000,3309,confirmed,0.073427000
ML-DSA-87,1000,0.000122000,32,5636096,,5,0.462950000,4627,confirmed,0.115820000
RSA-2048/SHA-256,1000,0.017828000,32,4898816,,6,0.338493000,256,confirmed,0.009881000
P-256/SHA-256,1000,0.000053000,32,5242880,,6,0.012637000,71,confirmed,0.034543000
Ed25519,1000,0.000035000,32,5341184,,6,0.016557000,64,confirmed,0.051251000
ML-DSA-44,1000,0.000080000,32,5603328,,6,0.249892000,2420,confirmed,0.047787000
ML-DSA-65,1000,0.000102000,32,5652480,,6,0.400877000,3309,confirmed,0.118576000
ML-DSA-87,1000,0.000171000,32,5799936,,6,0.483671000,4627,confirmed,0.116344000
RSA-2048/SHA-256,1000,0.013400000,32,4898816,,7,0.340012000,256,confirmed,0.009791000
P-256/SHA-256,1000,0.000053000,32,5242880,,7,0.012589000,71,confirmed,0.051503000
Ed25519,1000,0.000237000,32,5341184,,7,0.037589000,64,confirmed,0.099834000
ML-DSA-44,1000,0.000184000,32,5603328,,7,0.336169000,2420,confirmed,0.047967000
ML-DSA-65,1000,0.000105000,32,5668864,,7,0.403558000,3309,confirmed,0.073452000
ML-DSA-87,1000,0.000130000,32,5734400,,7,0.475556000,4627,confirmed,0.120243000
RSA-2048/SHA-256,1000,0.009701000,32,4898816,,8,0.340117000,256,confirmed,0.009758000
P-256/SHA-256,1000,0.000056000,32,5242880,,8,0.013695000,72,confirmed,0.035064000
Ed25519,1000,0.000039000,32,5341184,,8,0.016598000,64,confirmed,0.039823000
ML-DSA-44,1000,0.000069000,32,5521408,,8,0.236808000,2420,confirmed,0.047650000
ML-DSA-65,1000,0.000097000,32,5570560,,8,0.408354000,3309,confirmed,0.073315000
ML-DSA-87,1000,0.000121000,32,5636096,,8,0.478930000,4627,confirmed,0.115461000
RSA-2048/SHA-256,1000,0.033891000,32,4915200,,9,0.342413000,256,confirmed,0.009792000
P-256/SHA-256,1000,0.000095000,32,5259264,,9,0.012569000,72,confirmed,0.034372000
Ed25519,1000,0.000030000,32,5357568,,9,0.016667000,64,confirmed,0.040320000
ML-DSA-44,1000,0.000071000,32,5603328,,9,0.239822000,2420,confirmed,0.047803000
ML-DSA-65,1000,0.000095000,32,5652480,,9,0.399646000,3309,confirmed,0.073334000
ML-DSA-87,1000,0.000129000,32,5832704,,9,0.491985000,4627,confirmed,0.116106000
RSA-2048/SHA-256,1000,0.024721000,32,4898816,,10,0.339089000,256,confirmed,0.009803000
P-256/SHA-256,1000,0.000053000,32,5242880,,10,0.012634000,72,confirmed,0.034432000
Ed25519,1000,0.000029000,32,5341184,,10,0.016836000,64,confirmed,0.040527000
ML-DSA-44,1000,0.000072000,32,5521408,,10,0.246091000,2420,confirmed,0.047792000
ML-DSA-65,1000,0.000097000,32,5570560,,10,0.415826000,3309,confirmed,0.073284000
ML-DSA-87,1000,0.000125000,32,5668864,,10,0.456163000,4627,confirmed,0.115566000
RSA-2048/SHA-256,1000,0.009338000,512,4866048,,1,0.339469000,256,confirmed,0.009910000
P-256/SHA-256,1000,0.000052000,512,5210112,,1,0.012904000,71,confirmed,0.034650000
Ed25519,1000,0.000033000,512,5308416,,1,0.017293000,64,confirmed,0.040938000
ML-DSA-44,1000,0.000067000,512,5570560,,1,0.248829000,2420,confirmed,0.048553000
ML-DSA-65,1000,0.000102000,512,5652480,,1,0.410646000,3309,confirmed,0.076757000
ML-DSA-87,1000,0.000133000,512,5799936,,1,0.466103000,4627,confirmed,0.118853000
RSA-2048/SHA-256,1000,0.021346000,512,4915200,,2,0.346773000,256,confirmed,0.009996000
P-256/SHA-256,1000,0.000053000,512,5259264,,2,0.012896000,70,confirmed,0.034534000
Ed25519,1000,0.000030000,512,5357568,,2,0.017372000,64,confirmed,0.041095000
ML-DSA-44,1000,0.000072000,512,5537792,,2,0.253096000,2420,confirmed,0.048480000
ML-DSA-65,1000,0.000099000,512,5586944,,2,0.394255000,3309,confirmed,0.073727000
ML-DSA-87,1000,0.000123000,512,5652480,,2,0.473957000,4627,confirmed,0.116429000
RSA-2048/SHA-256,1000,0.010249000,512,4915200,,3,0.339229000,256,confirmed,0.009888000
P-256/SHA-256,1000,0.000053000,512,5259264,,3,0.012753000,71,confirmed,0.034589000
