algorithm,confirmed_repetitions,keygen_seconds_median,keygen_seconds_stdev,message_bytes,peak_rss_bytes_median,peak_rss_bytes_stdev,repetitions,sign_seconds_median,sign_seconds_stdev,status,verify_seconds_median,verify_seconds_stdev
Ed25519,10,3.5e-05,6.413665965039893e-05,32,5341184.0,22184.04087025926,10,0.0166565,0.0066131999852147546,confirmed,0.040441500000000005,0.018693730986022502
Ed25519,10,3.3e-05,1.9119507199599976e-06,512,5341184.0,15055.856983616413,10,0.017145,0.0002296828973461744,confirmed,0.040886500000000006,0.0026813871948841864
Ed25519,10,3.35e-05,3.7252889522529358e-06,2048,5341184.0,31844.7719483818,10,0.019014,0.0005195823215707875,confirmed,0.041787000000000005,0.000378169582771187
Ed25519,10,3.2e-05,5.173651192984185e-06,8192,5357568.0,19615.236091705177,10,0.026115,0.0005241822096264705,confirmed,0.045107499999999995,0.0006635259016965526
ML-DSA-44,10,7.1e-05,3.586456003726613e-05,32,5603328.0,46469.4965833622,10,0.2492375,0.02996983994766887,confirmed,0.0477975,0.0024596575665007604
ML-DSA-44,10,7e-05,1.1776152927750972e-05,512,5529600.0,31086.454310519235,10,0.24926700000000002,0.007512190732402896,confirmed,0.048516500000000004,0.006986570324558394
ML-DSA-44,10,7.3e-05,4.898979485566355e-06,2048,5537792.0,49484.62268175393,10,0.24800650000000002,0.008460611838264286,confirmed,0.049780000000000005,0.00026971005007435443
ML-DSA-44,10,7.25e-05,8.771164878927619e-06,8192,5570560.0,41592.27552215809,10,0.2530775,0.014824931489067859,confirmed,0.0555355,0.009765382771698083
ML-DSA-65,10,0.0001005,4.948624949305504e-06,32,5652480.0,57382.99626428256,10,0.405729,0.017569537192412197,confirmed,0.0734105,0.01413849605549017
ML-DSA-65,10,0.0001025,5.94418483337567e-06,512,5619712.0,52525.42207773722,10,0.4008925,0.007362091638175182,confirmed,0.0739315,0.0010952076616889718
ML-DSA-65,10,9.8e-05,3.3149493041204866e-06,2048,5619712.0,50763.96731540986,10,0.401352,0.007778928724445286,confirmed,0.0752735,0.0006939509748934388
ML-DSA-65,10,9.95e-05,7.612854625930772e-06,8192,5644288.0,56121.67748502653,10,0.413362,0.007357251679654417,confirmed,0.08101749999999999,0.0034889943489015075
ML-DSA-87,10,0.000127,1.6726559053725837e-05,32,5758976.0,76867.17536229479,10,0.477243,0.012467642439976822,confirmed,0.11596300000000001,0.0015355287507710317
ML-DSA-87,10,0.00012350000000000002,4.6487752269937865e-06,512,5775360.0,74882.02998198046,10,0.46777749999999996,0.011902649789484318,confirmed,0.116371,0.0008233567135681708
ML-DSA-87,10,0.00012849999999999998,4.049691346263316e-06,2048,5783552.0,58946.99184106947,10,0.478189,0.010645353649467086,confirmed,0.1179915,0.0026760257534884325
ML-DSA-87,10,0.0001305,4.110960958218893e-06,8192,5758976.0,68669.61611270785,10,0.481751,0.011612352274386282,confirmed,0.123285,0.0007850812342964535
P-256/SHA-256,10,5.3e-05,1.317447026132993e-05,32,5242880.0,22184.04087025926,10,0.012660000000000001,0.0003322606239418422,confirmed,0.034534499999999996,0.005360799754804419
P-256/SHA-256,10,5.25e-05,1.159501808728407e-06,512,5242880.0,15055.856983616413,10,0.0128995,6.664633023155385e-05,confirmed,0.034547499999999995,0.00011922136273895505
P-256/SHA-256,10,5.4e-05,1.5951314818673873e-06,2048,5234688.0,31656.895547942368,10,0.013333000000000001,0.00015186470586969438,confirmed,0.035047499999999995,0.0004672434649682704
P-256/SHA-256,10,5.4499999999999997e-05,4.211096452627669e-06,8192,5259264.0,19615.236091705177,10,0.01533,0.0002886204735942652,confirmed,0.037066,0.0006184714490850269
RSA-2048/SHA-256,10,0.0241815,0.010356279341003161,32,4898816.0,22184.04087025926,10,0.340326,0.002114198519008517,confirmed,0.0097915,5.6513125319109134e-05
RSA-2048/SHA-256,10,0.019188,0.008279891008407725,512,4898816.0,15055.856983616413,10,0.33947000000000005,0.00995606636065558,confirmed,0.009933500000000001,4.8242903911122394e-05
RSA-2048/SHA-256,10,0.025167500000000002,0.015519357719026617,2048,4890624.0,31656.895547942368,10,0.340194,0.0020684014466356513,confirmed,0.010469,0.00010795163526114613
RSA-2048/SHA-256,10,0.0217115,0.009874616696358396,8192,4915200.0,19231.33916409475,10,0.341387,0.008301982882955663,confirmed,0.012399,0.0004012827210611268
