algorithm,status,reason,iterations,sign_seconds,verify_seconds,component1_signature_max_bytes,component2_signature_max_bytes,combined_signature_bytes
FN-DSA-512 (Falcon-512),confirmed,,100000,10.547208000,1.612536000,665,0,665
RSA-2048+P-256,confirmed,,100000,35.317942000,4.473800000,256,72,328
RSA-2048+Ed25519,confirmed,,100000,35.634483000,5.057551000,256,64,320
RSA-2048+ML-DSA-44,confirmed,,100000,59.198430000,5.784879000,256,2420,2676
P-256+ML-DSA-44,confirmed,,100000,26.317486000,8.391998000,72,2420,2492
RSA-2048+ML-DSA-65,confirmed,,100000,74.396603000,8.363908000,256,3309,3565
P-256+ML-DSA-65,confirmed,,100000,41.756521000,10.879306000,72,3309,3381
RSA-2048+ML-DSA-87,confirmed,,100000,81.102208000,12.706616000,256,4627,4883
RSA-2048+FN-DSA-512,confirmed,,100000,44.606447000,2.632527000,256,664,920
P-256+ML-DSA-87,confirmed,,100000,49.977078000,15.269535000,72,4627,4699
P-256+Falcon-512,confirmed,,100000,12.061653000,5.082005000,72,665,737
