algorithm,combined_signature_bytes,component1_signature_max_bytes,component2_signature_max_bytes,iterations,reason,sign_microseconds_per_operation,sign_ops_per_second,sign_seconds,sign_time_ratio_vs_mldsa65,signature_bytes_ratio_vs_mldsa65,status,verify_microseconds_per_operation,verify_ops_per_second,verify_seconds,verify_time_ratio_vs_mldsa65
FN-DSA-512 (Falcon-512),665,665,0,100000,,105.472,9481.182,10.547208000,0.26,0.201,confirmed,16.125,62014.119,1.612536000,0.21
RSA-2048+P-256,328,256,72,100000,,353.179,2831.422,35.317942000,0.871,0.099,confirmed,44.738,22352.363,4.473800000,0.584
RSA-2048+Ed25519,320,256,64,100000,,356.345,2806.271,35.634483000,0.879,0.097,confirmed,50.576,19772.416,5.057551000,0.66
RSA-2048+ML-DSA-44,2676,256,2420,100000,,591.984,1689.234,59.198430000,1.46,0.809,confirmed,57.849,17286.446,5.784879000,0.755
P-256+ML-DSA-44,2492,72,2420,100000,,263.175,3799.755,26.317486000,0.649,0.753,confirmed,83.92,11916.113,8.391998000,1.095
RSA-2048+ML-DSA-65,3565,256,3309,100000,,743.966,1344.147,74.396603000,1.835,1.077,confirmed,83.639,11956.133,8.363908000,1.091
P-256+ML-DSA-65,3381,72,3309,100000,,417.565,2394.836,41.756521000,1.03,1.022,confirmed,108.793,9191.763,10.879306000,1.419
RSA-2048+ML-DSA-87,4883,256,4627,100000,,811.022,1233.012,81.102208000,2.0,1.476,confirmed,127.066,7869.916,12.706616000,1.658
RSA-2048+FN-DSA-512,920,256,664,100000,,446.064,2241.828,44.606447000,1.1,0.278,confirmed,26.325,37986.315,2.632527000,0.343
P-256+ML-DSA-87,4699,72,4627,100000,,499.771,2000.917,49.977078000,1.233,1.42,confirmed,152.695,6548.988,15.269535000,1.992
P-256+Falcon-512,737,72,665,100000,,120.617,8290.738,12.061653000,0.298,0.223,confirmed,50.82,19677.273,5.082005000,0.663
